Cluster,CourseID,Enrollments,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,UserID
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00001
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00001
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00001
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00001
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00001
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00002
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00002
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00002
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00002
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00002
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00003
3,CR00038,104,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00003
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00003
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00003
3,CR00026,100,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00003
3,CR00035,103,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00004
3,CR00055,110,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00004
3,CR00001,109,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00004
3,CR00026,100,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,U00004
3,CR00036,113,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,U00004
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00005
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00005
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00005
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00005
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00005
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00006
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00006
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00006
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00006
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00006
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00007
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00007
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00007
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00007
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00007
0,CR00035,55,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00008
0,CR00038,11,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00008
0,CR00017,4,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00008
0,CR00001,5,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00008
0,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00008
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00009
1,CR00038,6,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00009
1,CR00017,58,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00009
1,CR00055,64,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00009
1,CR00001,2,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00009
2,CR00035,5,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00010
2,CR00038,37,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,U00010
2,CR00017,2,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,U00010
2,CR00001,48,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,U00010
2,CR00055,2,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,U00010
1,CR00035,16,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,U00011
